currency,currentAmount,globalTradeID,tradeID,date,rate,amount,total,fee,orderNumber,type,category
AMP,182.22506393,77883928,556665,2017-01-30 20:41:30,0.00005474,182.68176835,0.00999999,0.00250000,20594775769,buy,exchange
ARDR,2096.05000000,76326589,105435,2017-01-24 23:25:09,0.00002051,1300.00000000,0.02666300,0.00150000,3035692446,buy,exchange
ARDR,2096.05000000,76326564,105434,2017-01-24 23:24:40,0.00002051,800.00000000,0.01640800,0.00250000,3035692446,buy,exchange
BTCD,9.98451444,76501627,829404,2017-01-25 21:56:26,0.00445286,9.51443180,0.04236643,0.00150000,6244245516,buy,exchange
BTCD,9.98451444,76326984,829194,2017-01-24 23:29:16,0.00445286,0.24278410,0.00108108,0.00250000,6244245516,buy,exchange
BTCD,9.98451444,76326983,829193,2017-01-24 23:29:16,0.00445286,0.24278410,0.00108108,0.00250000,6244245516,buy,exchange
BTCD,9.98451444,27203751,770425,2016-04-19 20:49:05,0.00253485,0.72726273,0.00184350,0.00250000,2050557402,sell,exchange
BTCD,9.98451444,25941670,769146,2016-04-10 21:37:55,0.00252038,9.72976770,0.02452271,0.00250000,1928824257,sell,exchange
BTS,3007.53012049,82690726,1493988,2017-02-24 23:48:25,0.00000332,785.18886820,0.00260682,0.00150000,20734751507,buy,exchange
BTS,3007.53012049,82687527,1493983,2017-02-24 23:24:06,0.00000332,2226.85932457,0.00739317,0.00150000,20734751507,buy,exchange
BTS,3007.53012049,28181603,932699,2016-04-26 16:01:03,0.00000826,6532.97917237,0.05396240,0.00250000,8878152974,sell,exchange
BTS,3007.53012049,28181602,932698,2016-04-26 16:01:03,0.00000829,29.73493976,0.00024650,0.00250000,8878152974,sell,exchange
BTS,3007.53012049,27889683,922954,2016-04-24 19:54:28,0.00000932,6579.16201717,0.06131779,0.00250000,8765749490,buy,exchange
BTS,3007.53012049,22872061,810893,2016-03-22 01:23:16,0.00001485,3132.97889809,0.04652473,0.00150000,7092544370,sell,exchange
BTS,3007.53012049,22872052,810892,2016-03-22 01:22:53,0.00001485,1857.02110191,0.02757676,0.00250000,7092544370,sell,exchange
BTS,3007.53012049,21554323,779310,2016-03-17 03:53:01,0.00001562,5000.00000000,0.07810000,0.00200000,6637932437,buy,exchange
BURST,1246.87500000,77883988,309753,2017-01-30 20:41:52,0.00000080,1250.00000000,0.00100000,0.00250000,1904952156,buy,exchange
